antenna,location,orientation,date_time,call,channel,virtual,frequency,power,noise,snr
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:15.077808,KGUN-TV     ,9,9,186.31,57.27167543182272,50.226887170384224,7.044788261438491
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:19.062420,KOLD-TV     ,13,13,210.31,58.48668688326882,51.61626339006207,6.870423493206751
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:22.989702,KUDF-LP     ,14,14,470.31,44.61188275739231,38.616396422496805,5.995486334895503
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:26.975044,KUDF-LD     ,14,14,470.31,44.40002957040536,38.60081626737831,5.799213303027052
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:30.917212,KHRR        ,16,40,482.31,54.39479470371094,54.35643342315858,0.0383612805523654
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:34.880157,KFTU-CD     ,18,34,494.31,36.64516034456448,36.6822829109942,-0.0371225664297298
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:38.884698,KTTU        ,19,18,500.31,41.448954687931845,41.43923838514985,0.0097163027819959
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:42.863740,KTTU        ,19,18,500.31,42.82927982481616,42.15816474062341,0.6711150841927491
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:46.838847,KVOA        ,23,4,524.31,48.48804483412356,48.68711792562662,-0.1990730915030596
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:50.777508,KMSB        ,25,11,536.31,56.87662597419188,48.75316911725746,8.123456856934418
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:54.778337,KUAS-TV     ,28,27,554.31,54.41058427509076,49.68553163145023,4.725052643640538
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:32:58.653089,KPCE-LD     ,29,29,560.31,56.72236676442226,49.95748992849873,6.7648768359235305
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:33:02.558539,KUAT-TV     ,30,6,566.31,52.37366826644059,50.20473759210742,2.1689306743331684
Philips Rabbit Ears,white desk,up-w-in-flat,2025-02-23 13:33:06.502137,KOLD-TV     ,32,13,578.31,51.35789633168689,46.64804437966201,4.709851952024877
